,logFC,AveExpr,t,P.Value,adj.P.Val,B
AT4G35620,1.14683396845785,3.61734483623599,4.56945230073315,0.000171947837614751,0.0041710706753958,0.817886542325279
AT1G28960,-0.520700818296424,5.09147765499713,-4.5684101535028,0.000172372721198435,0.00417657122168161,0.686770034928162
AT5G04620,0.76974189079355,4.1700142394989,4.56639494248948,0.000173197324752443,0.00419173318689036,0.774320353715546
AT1G14810,0.841337094253346,6.31630955030531,4.56541322796613,0.000173600470207854,0.00419667191741006,0.60836673579452
AT3G20840,1.39111259101893,3.06417481641358,4.5642954492486,0.000174060641805045,0.00420297632216535,0.898790841870854
AT5G06280,-0.664546915186179,4.4108614634815,-4.56296984967444,0.000174607962515498,0.00420760695208015,0.749130637708065
AT5G06150,1.06986354514472,4.72528190152652,4.56272699118087,0.000174708422938205,0.00420760695208015,0.70240135789184
AT2G19570,-0.684388472706375,6.54192588491058,-4.5623820308686,0.000174851218691756,0.00420760695208015,0.595025182611855
AT1G36160,-0.707348214315852,9.09214921734262,-4.5598030099239,0.000175922531072713,0.0042285598118732,0.594921736578142
AT4G00360,-1.52847843791015,6.62850311951416,-4.55814242681187,0.000176615824841976,0.00424038905201465,0.590548174994129
AT1G49600,0.639370478665463,7.42660620135216,4.55484498620734,0.000178000673831721,0.00426395685414227,0.572841990752802
AT1G63480,0.764600801408052,3.14182273480948,4.55421434969322,0.000178266769589717,0.00426395685414227,0.863467991832149
AT3G16070,2.07392677708858,0.509923322533909,4.55363211095593,0.000178512799618026,0.00426395685414227,0.736210438669295
AT3G61190,-1.37985146012227,2.13603714396365,-4.55344401817467,0.00017859235289928,0.00426395685414227,0.907242768949713
AT5G15845,1.05392882265739,1.78832054902939,4.55317871622961,0.000178704622256122,0.00426395685414227,0.903035452387739
AT4G14330,1.1505266399115,4.34642030976353,4.55292726981307,0.000178811093883385,0.00426395685414227,0.721310510237656
AT3G57360,0.897734340432363,2.31063875816414,4.55081261887707,0.000179709045762614,0.00427608516098132,0.897649899865941
AT5G27470,0.457425449575103,7.05288822838318,4.55077420154295,0.000179725400978627,0.00427608516098132,0.563157153240007
AT2G03200,-0.946434867608551,5.8874493910488,-4.54870645158699,0.000180607908415064,0.00428926452129505,0.578034656433142
